French,Frequency,English
esprits,8315,spirits
cloche,8310,bell
phil,8300,phil
cia,8283,cia
réputation,8274,reputation
étudier,8272,to study
trompe,8264,deceived
chute,8264,fall
jackson,8254,jackson
demi,8251,half
devra,8247,will have to
plainte,8245,complaint
grand-chose,8238,great
tim,8238,tim
joey,8234,joey
sorcière,8234,witch
venant,8227,from
alan,8225,alan
californie,8222,california
tenue,8213,outfit
journaliste,8213,journalist
soyons,8211,let's be
chouette,8206,owl
karen,8194,karen
aurons,8192,will have
avocats,8187,lawyer
cherchais,8186,sought
angeles,8180,angeles
surveille,8178,watched
département,8175,department
abandonne,8175,abandoned
prendrai,8169,will take
peinture,8168,paint
refaire,8168,redo
honnêtement,8155,honestly
opinion,8153,opinion
geste,8148,gesture
étais-tu,8144,were you
gaffe,8142,blunder
empire,8141,empire
aient,8138,have
pizza,8137,pizza
seriez,8135,would be
fan,8133,fan
poitrine,8133,chest
y',8132,y '
jenny,8128,jenny
lorsqu',8126,when
médecins,8121,doctors
remonte,8115,traced back
aventure,8113,adventure
réglé,8111,ruler
mac,8102,mac
abby,8097,abby
barre,8095,rod
foyer,8094,hearth
jean,8092,jeans
amuse,8091,amused
mener,8083,carry out
uniforme,8081,uniform
cauchemar,8080,nightmare
soupe,8071,soup
intelligente,8067,intelligent
jus,8061,juice
prêtre,8057,priest
trompé,8032,deceived
chuck,8032,chuck
corde,8032,rope
champion,8030,champion
somme,8024,sum
conférence,8019,conference
commissaire,8013,commissioner
répondez,8006,answer
attrapé,8004,caught
red,8003,red
racontes,8000,tells
deviner,7998,guess
recommencer,7998,restart
dis-tu,7995,you say
complet,7995,complete
crimes,7994,crimes
maggie,7990,maggie
crème,7988,cream
construit,7987,built
excusez,7983,excuse
entraînement,7981,training
centaines,7976,hundreds
calmer,7968,calm
joueur,7963,player
couloir,7963,corridor
horreur,7959,horror
propriété,7956,property
admettre,7946,admit
matériel,7945,material
verrez,7941,will see
foule,7938,crowd
st,7935,st
réaction,7931,reaction
ennuie,7928,bored
laura,7925,laura
pub,7908,pub
hiver,7907,winter
manteau,7893,coat
pis,7893,worse
débile,7891,stupid
trouverai,7884,will find
conseiller,7872,advise
humanité,7870,humanity
studio,7865,studio
josh,7862,josh
lapin,7861,rabbit
désert,7860,desert
combattre,7853,combat
big,7848,big
julie,7839,julie
boutique,7834,shop
fonds,7832,funds
voient,7817,see
états-unis,7814,united states
reviendrai,7801,will come back
ramené,7799,brings back
discussion,7794,discussion
connaissait,7789,knew
vegas,7787,vegas
sir,7783,sir
fiancée,7783,fiancee
remonter,7778,go back up
incendie,7777,fire
arbres,7773,trees
conseils,7770,advice
géniale,7766,brilliant
messages,7765,messages
ex,7752,ex
surface,7746,surface
appellent,7737,call
atteint,7733,reached
recommence,7726,start again
curieux,7711,curious
lucy,7710,lucy
ascenseur,7708,elevator
mars,7704,march
apprend,7693,learn
abri,7689,shelter
larmes,7677,tears
dites-vous,7677,you say
impliqué,7674,implied
répéter,7672,repeat
pardonner,7672,forgive
donnerai,7671,will give
soi,7669,self
marine,7664,marine
cadavre,7663,corpse
o.k.,7658,ok.
front,7654,forehead
uniquement,7652,uniquely
traîner,7646,hang out
rare,7642,rare
permet,7639,allow
stan,7638,stan
parking,7633,car park
morceaux,7632,parts
réussir,7625,succeed
morgan,7625,morgan
empêche,7624,stop
traversé,7615,crossed
américaine,7615,american
hank,7615,hank
décide,7613,decided
doué,7611,gifted
gloire,7607,glory
gang,7604,gang
communauté,7601,community
plaisantes,7598,pleasant
déclaration,7596,statement
jones,7594,jones
portait,7593,wore
croient,7592,believe
projets,7590,projects
frontière,7590,border
saute,7585,jumped up
hais,7582,haz
laissée,7581,left
suivez-moi,7579,follow me
prénom,7569,first name
tenter,7565,to attempt
liaison,7565,connection
cérémonie,7565,ceremony
fasses,7562,do
vivent,7560,live
ho,7560,ho
océan,7558,ocean
vélo,7556,bike
aimerait,7554,would like
réaliser,7551,realize
poupée,7542,doll
navire,7540,ship
saches,7538,know
parties,7536,parts
patrick,7529,patrick
remplacer,7524,replace
prisonnier,7518,prisoner
ménage,7518,household
porté,7514,door
employés,7510,employees
dépêchez-vous,7505,hurry up
bouton,7503,button
acteur,7493,actor
show,7491,show
julia,7487,julia
mardi,7487,tuesday
juré,7482,sworn
barry,7481,barry
médecine,7481,medicine
restera,7474,will stay
lourd,7472,heavy
chargé,7469,charge
au-delà,7467,beyond
survécu,7465,survived
bite,7465,cock
soudain,7463,suddenly
voyais,7457,saw
travailles,7456,work
prévenu,7451,warned
regardez-moi,7451,look at me
baisse,7449,drop
filer,7447,spin
rompu,7446,broken
véhicule,7443,vehicle
sauve,7439,safe
rencontrés,7438,met
emmerde,7428,foul
estomac,7423,stomach
donna,7422,donna
couvrir,7416,cover
meilleures,7416,best
rater,7411,miss
terminée,7410,finished
fred,7409,fred
tâche,7408,stain
réserve,7405,reserve
brûler,7404,burn
chou,7397,cabbage
réveille,7391,wake up
sentez,7390,feel
ferme-la,7389,shut up
réveille-toi,7388,wake up
etait,7377,was
origine,7375,origin
rêvé,7370,dream
gary,7358,gary
pouviez,7357,could
poursuivre,7357,pursue
actions,7356,actions
tapis,7351,carpet
absence,7350,absence
lâcher,7350,let go
tempête,7344,storm
um,7343,um
souffre,7333,suffer
touchez,7333,touch
cents,7329,cents
rempli,7328,completed
écran,7328,screen
dis-le,7327,say it
victor,7326,victor
affreux,7323,awful
enterrement,7322,funeral
inconnu,7322,unknown
venger,7320,revenge
team,7320,team
feriez,7316,would do
sara,7315,sara
inventé,7314,invented
installer,7311,install
ya,7301,ya
va-t-il,7297,he's going
rythme,7295,pace
étudiants,7294,students
pratique,7293,practical
whisky,7293,whiskey
calmez-vous,7289,calm down
travaillez,7287,work
ballon,7282,ball 
équipage,7282,crew
signes,7278,signs
élèves,7275,students
faites-le,7269,do it
parlera,7264,talk to
attirer,7262,attract
récompense,7258,reward
reconnu,7251,recognized
irait,7249,would go
loup,7247,wolf
traite,7235,treaty
lâchez-moi,7235,let me go
ca.,7229,that.
vengeance,7229,revenge
imaginez,7228,imagine
navré,7226,heartbroken
feront,7219,will do
finis,7219,finish
propose,7213,propose
forcé,7211,strength
lutte,7211,struggle
opportunité,7206,opportunity
personnage,7203,character
2e,7202,2nd
boss,7197,boss
arrêtes,7191,stops
convaincu,7191,convinced
allons-nous,7191,let's go
accompagner,7186,to accompany
essayons,7184,let's try
limite,7175,limit
panique,7168,panic
technologie,7162,technology
brillant,7160,bright
king,7154,king
afrique,7154,africa
nourrir,7152,to feed
région,7152,region
nathan,7147,nathan
passent,7142,pass
salaire,7137,salary
veille,7135,day before
appelle-moi,7135,call me
ceinture,7132,belt
explication,7131,explanation
chansons,7131,songs
profond,7129,deep
professionnel,7129,professional
possède,7128,possesses
étonnant,7118,amazing
venais,7108,came
casier,7106,locker
jouez,7106,play
roman,7101,novel
sandwich,7094,sandwich
arrives,7094,arrival
nana,7093,girl
nommé,7093,appointed
incident,7093,incident
retournez,7089,return
sophie,7089,sophie
potes,7087,friends
comité,7082,committee
chine,7061,china
technique,7059,technical
haine,7053,hate
identifier,7052,identify
célibataire,7046,single
jackie,7046,jackie
annoncer,7041,announce
portée,7040,scope
fleur,7040,flower
roule,7037,rolled
palais,7035,palace
tromper,7034,deceive
lady,7028,lady
attendait,7028,was waiting
jeudi,7024,thursday
abruti,7022,jerk
disiez,7021,say
normalement,7019,normally
circonstances,7017,circumstances
appelez-moi,7015,call me
canapé,7015,couch
sommes-nous,7000,are we
protège,6997,protected
est-à-dire,6995,that is to say
affronter,6994,confront
connait,6992,know
élève,6989,pupil
pêche,6989,fishing
masque,6985,mask
couvert,6978,covered
extraordinaire,6973,extraordinary
malheur,6972,misfortune
sentais,6970,smelt
royaume,6969,kingdom
porc,6965,pork
envoyez,6963,send
brûle,6963,burn
entretien,6961,interview
vingt,6960,twenty
objets,6959,objects
gêne,6959,embarrassed
bloc,6958,block
aidera,6953,will help
final,6952,final
conduis,6939,driven
excellente,6937,excellent
brûlé,6937,burnt
amanda,6936,amanda
business,6934,business
sauté,6932,jumped up
trouvent,6931,find
ferez,6930,will be
alarme,6925,alarm
laisse-le,6924,leave him
rencard,6924,date
concentrer,6921,focus
étoile,6921,star
engager,6919,engage
singe,6917,monkey
colle,6904,glue
ooh,6903,ooh
assistant,6896,assistant
fallu,6894,owed
mm,6893,mm
central,6889,central
prisonniers,6885,prisoners
naturel,6881,natural
essayait,6877,was trying
pardonnez-moi,6875,excuse me
étape,6873,stage
cage,6872,cage
davantage,6867,any further
alliance,6861,alliance
collègues,6855,colleagues
collier,6853,necklace
rayon,6851,ray
correct,6849,correct
jesse,6845,jesse
gâcher,6843,spoil
quant,6839,as to
assassiné,6837,murdered
placard,6837,closet
soif,6836,thirsty
conditions,6836,terms
min,6836,min
remis,6835,discarded
russes,6832,russian
miel,6828,honey
personnellement,6825,personally
entièrement,6824,entirely
howard,6823,howard
impressionnant,6820,impressive
passes,6820,passes
créature,6820,creature
black,6819,black
lancé,6818,spear
kilomètres,6817,kilometers
sers,6815,serve
échappé,6813,escaped
parte,6810,part
prouve,6808,prove
associé,6805,partner
monnaie,6803,cash
dean,6802,dean
moque,6796,mocking
voisin,6796,neighbor
clinique,6792,clinical
tape,6791,tape
têtes,6785,heads
lentement,6785,slowly
classique,6783,classic
temple,6777,temple
steven,6776,steven
produits,6775,products
passion,6769,passion
prenne,6765,take
échoué,6764,failed
écouté,6763,listen
existence,6760,existence
correspond,6759,correspond
analyse,6758,analysis
retire,6758,took of
mystère,6756,mystery
maîtresse,6751,mistress
port,6748,port
tension,6740,tension
qualité,6740,quality
nationale,6733,national
respecte,6731,respect
vierge,6730,virgin
piano,6727,piano
secteur,6726,sector
espérons,6726,hope
devoirs,6725,homework
pot,6725,jar
contacter,6723,contact
secrète,6723,secret
dispute,6718,dispute
cigarette,6712,cigarette
manques,6708,gaps
bouffe,6707,food
jugement,6707,judgement
idiots,6707,idiots
courageux,6705,brave
limites,6702,boundaries
bibliothèque,6699,library
désir,6693,desire
condition,6688,condition
sales,6685,dirty
courrier,6682,mail
volant,6682,flying
merveilleuse,6680,marvelous
fumée,6678,smoke
chanceux,6677,lucky
expert,6674,expert
anne,6674,anne
rick,6673,rick
lève-toi,6672,get up
tasse,6669,cup
poussé,6669,pushed
étrangers,6666,foreigners
censée,6664,supposed
permettez,6650,allow
hall,6646,lobby
approcher,6642,approach
that,6638,that
greg,6638,greg
pile,6635,stack
japonais,6635,japanese
soigner,6632,cure
urgences,6630,emergencies
effets,6628,effects
essai,6626,essay
fruits,6624,fruits
yo,6623,yo
remplir,6615,fill
commençons,6612,let's start
miles,6605,miles
donnera,6605,will give
soins,6602,care
charlotte,6602,charlotte
risqué,6601,risk
avouer,6598,to confess to
passés,6598,past
épreuve,6598,test
vivants,6598,living
conduite,6596,conduct
p,6592,p
robin,6590,robin
chffffff,6588,chffffff
découvre,6585,discover
avantage,6584,advantage
retenir,6575,retain
love,6567,love
miroir,6566,mirror
etat,6565,state
procédure,6561,procedure
verres,6561,glasses
copie,6553,copy
jaune,6546,yellow
dames,6541,ladies
betty,6534,betty
efforts,6530,efforts
proposé,6529,propose
blessée,6519,injured
crie,6519,calls out
voyager,6510,to travel
disque,6505,disk
golf,6504,golf
annuler,6502,cancel
section,6499,section
catherine,6497,catherine
aube,6494,dawn
précis,6491,accurate
appellerai,6486,will call
doug,6486,doug
etes-vous,6484,are you
lumières,6477,lights
helen,6472,helen
briser,6467,to break
fait-il,6465,he does
vampire,6460,vampire
échec,6455,failure
mexique,6446,mexico
figure,6433,figure
repose,6433,rests
urgent,6430,urgent
profil,6428,profile
médical,6423,medical
chiffres,6421,numbers
carrément,6420,downright
pointe,6419,point
is,6418,is
interroger,6417,question
sauce,6414,sauce
séance,6405,session
fiancé,6402,fiance
chaude,6401,hot
sacs,6398,bags
vivait,6389,lived
aimerai,6388,would like
alliez,6386,combine
partage,6383,sharing
johnson,6378,johnson
assise,6378,seated
foot,6378,football
accusation,6370,charge
bagages,6369,luggage
boule,6367,ball 
copains,6367,friends
nu,6365,naked
patience,6362,patience
suivez,6361,follow
criminels,6358,criminals
poissons,6357,pisces
fermez,6343,close
bleue,6342,blue
tyler,6341,tyler
égal,6340,equal
organiser,6338,organize
œuvre,6335,artwork
organisation,6326,organization
moto,6326,motorbike
parlerai,6324,will speak
texas,6321,texas
attitude,6319,attitude
documents,6318,documents
étiez-vous,6316,were you
effort,6316,effort
enchantée,6315,nice to meet you
restent,6315,remain
diriger,6314,direct
apprends,6314,learn
proposition,6310,proposal
pareille,6310,likely
terres,6305,lands
serpent,6304,snake
all,6303,all
audience,6301,audience
info,6298,info
voyait,6290,saw
télévision,6290,television
intéressé,6287,interested
pattes,6283,paws
possibilité,6283,possibility
football,6283,soccer
poison,6283,poison
maudit,6282,damn
cochon,6282,pig
reconnaître,6279,recognize
paire,6277,pair
your,6276,your
condamné,6275,sentenced
croyait,6269,believed
sauvage,6269,savage
maximum,6266,maximum
domaine,6263,domain
drogues,6262,drugs
poussière,6259,dust
visiter,6256,to visit
nôtres,6256,ours
policiers,6255,policeman
rat,6254,rat
ajouter,6245,add
chambres,6241,bedrooms
séparer,6237,to separate
valise,6233,suitcase
idéal,6229,ideal
exprès,6228,on purpose
cooper,6224,cooper
empereur,6220,emperor
forcer,6217,force
vincent,6214,vincent
juger,6211,judge
montagnes,6207,mountains
t-il,6206,he
printemps,6206,spring
rebecca,6206,rebecca
avoue,6205,confession
oliver,6205,oliver
faisaient,6205,were doing
allaient,6205,were going
profondément,6204,deeply
aides,6203,aid
collègue,6196,colleague
bonbons,6193,candy
fantômes,6191,ghosts
légende,6190,legend
embrasse,6188,kiss
suffisamment,6188,enough
disparition,6187,disappearance
suivante,6186,next
commencez,6181,start
poule,6180,chicken
semblez,6177,appear
éducation,6174,education
restée,6171,remained
dragon,6171,dragon
plaque,6169,plate
prenons,6166,let's take
auparavant,6165,previously
mobile,6162,mobile
peut-il,6161,can he
jamie,6161,jamie
elizabeth,6161,elizabeth
malades,6160,sick
molly,6157,molly
invite,6153,guest
musée,6153,museum
connaissent,6152,know
elle-même,6150,herself
bijoux,6149,jewelry
refuser,6147,refuse
chers,6145,dear
pensée,6143,thought
andrew,6135,andrew
psy,6133,psyche
saurais,6133,would be
adultes,6130,adults
préviens,6127,warn
appart,6120,apartment
chasser,6119,hunt
sable,6114,sand
balance,6110,balance
critique,6107,critical
fièvre,6107,fever
irais,6100,go
terminer,6098,to end
brown,6098,brown
monstres,6092,monsters
angela,6092,angela
leo,6090,leo
essaies,6090,try
coïncidence,6087,coincidence
charmante,6082,charming
née,6080,born
suggère,6080,suggest
raisonnable,6073,reasonable
conséquences,6071,consequences
jouait,6070,played
décisions,6070,decisions
lucas,6067,lucas
sensible,6067,sensitive
déposer,6066,deposit
imagination,6056,imagination
objection,6054,objection
autorisation,6051,authorisation
faites-moi,6048,make me
chirurgie,6048,surgery
ordinaire,6047,ordinary
rouges,6044,red
voyez-vous,6036,you see
voudra,6035,will want to
vieilles,6034,old
hollywood,6032,hollywood
magazine,6030,magazine
matière,6030,matter
rentres,6029,return
vend,6029,sells
pourrais-je,6026,could i
libéré,6026,released
sexuelle,6024,sexual
posez,6019,place
bagarre,6011,fight
ross,6011,ross
solide,6010,solid
lié,6009,related
marques,6008,marks
cercle,6007,circle
caroline,6005,caroline
sûrs,6004,safe
sortira,6002,will come out
étudiant,5997,student
extrêmement,5995,extremely
digne,5994,worthy
cirque,5990,circus
amen,5990,amen
carlos,5989,carlos
congé,5989,leave
roy,5985,roy
prenait,5979,taking
boston,5978,boston
meurent,5975,die
beurre,5973,butter
émotions,5972,emotions
causé,5965,cause
sortes,5961,sort of
el,5961,el
stade,5956,stadium
entraîner,5956,lead
préférée,5956,favorite
allemand,5952,german
blonde,5949,blonde hair
japon,5945,japan
sortis,5943,out
malheureux,5943,unfortunate
personnelle,5941,personal
barbara,5938,barbara
épaule,5937,shoulder
était-ce,5937,was it
we,5936,we
pigé,5935,pig
lls,5932,lls
menacé,5931,threat
arrivait,5929,was coming
taux,5929,rate
tireur,5929,shooter
mamie,5927,granny
3e,5926,3rd
supporte,5925,support
lignes,5922,lines
voyant,5921,seeing
examiner,5917,examine
terry,5914,terry
orange,5911,orange
nerveuse,5910,nervous
ouverture,5909,opening
patiente,5905,patient
huile,5905,oil
trouverez,5904,will find
sire,5904,sire
mignonne,5903,cute
parfum,5902,scent
retourné,5902,return
fêter,5900,to celebrate
publique,5900,public
invitée,5898,guest
incapable,5898,unable
cap,5896,cap
couleurs,5895,colors
sainte,5892,holy
accompagne,5890,accompanied
demi-heure,5889,half an hour
camarade,5885,comrade
éliminer,5884,eliminate
croix,5882,cross
large,5880,wide
moral,5879,moral
détail,5877,detail
wilson,5876,wilson
thérapie,5874,therapy
troupes,5873,troops
froide,5871,cold
signature,5867,signature
pensons,5867,let's think
parker,5866,parker
donnée,5866,given
assistante,5866,assistant
éloigner,5865,remove
trahi,5855,betrayed
jo,5854,joy
enterré,5853,buried
adaptation,5853,adaptation
brave,5850,brave
jeunesse,5850,youth
guérir,5848,heal
officiers,5847,officers
recule,5847,back
toby,5844,toby
machines,5843,machines
justin,5841,justin
sommet,5838,summit
géant,5837,giant
démons,5835,demons
taper,5835,type
linda,5833,linda
territoire,5832,territory
organisé,5829,organized
portefeuille,5825,wallet
sally,5824,sally
adorer,5823,love
scénario,5822,scenario
emprunter,5817,borrow
tours,5815,towers
etes,5813,are
nate,5813,nate
alibi,5807,alibi
respecter,5804,respect
marchera,5804,will walk
tentative,5804,attempt
décès,5800,death
rappelez,5794,recall
lord,5792,lord
livrer,5792,deliver
blessés,5790,wounded
donnent,5787,give
fêtes,5786,holidays
pressé,5780,press
frankie,5778,frankie
davis,5776,davis
supérieur,5774,superior
précieux,5774,precious
poil,5772,hair 
rats,5769,rats
cave,5766,cellar
progrès,5765,progress
objectif,5762,objective
grosses,5761,big
cole,5759,cole
bruce,5758,bruce
armé,5750,armed
panne,5749,breakdown
iras,5747,iras
bains,5747,baths
officiellement,5747,officially
enculé,5744,fucked
difficiles,5743,difficult
renvoyer,5740,dismiss
miller,5738,miller
invitation,5737,invitation
allemagne,5737,germany
loyer,5736,rent
plateau,5736,plateau
trés,5735,very
mai,5733,may
humour,5731,humor
marcus,5730,marcus
olivia,5730,olivia
actes,5728,acts
êtres,5727,beings
cinglé,5726,crazy
moche,5724,ugly
suffisant,5715,sufficient
douée,5714,gifted
obligée,5712,compulsory
junior,5708,junior
boit,5707,drinking
juifs,5704,jews
enfermé,5702,shut in
joseph,5699,joseph
travaux,5697,works
approchez,5697,approach
jolies,5695,pretty
expression,5694,expression
cherchait,5689,was looking for
libres,5688,free
jordan,5688,jordan
race,5687,breed
injuste,5678,unfair
gordon,5677,gordon
plu,5676,enjoyed
trafic,5674,traffic
eue,5674,eue
déplacer,5671,move
exercice,5668,exercise
travaillent,5666,working
forts,5666,strong
épousé,5666,marry
do,5664,do
cabine,5663,cabin
miami,5662,miami
baise,5660,fuck
tenait,5659,held
changera,5658,will change
populaire,5657,popular
descend,5652,descend
nager,5651,swim
ferons,5651,will do
énervé,5649,irritated
nôtre,5645,our
électrique,5641,electric
devrais-je,5640,should i
furieux,5635,furious
jessica,5634,jessica
nation,5631,nation
for,5630,for
placé,5629,place
traître,5628,traitor
juif,5622,jewish
ouah,5621,wow
cassette,5612,cassette
péché,5609,fishing
instinct,5605,instinct
katie,5604,katie
derek,5602,derek
remise,5599,discount
allemands,5598,germans
sexuel,5598,sexual
excitant,5592,exciting
enregistrement,5591,registration
foutez,5588,whip
arrangé,5588,arranged
original,5583,original
agression,5580,assault
rendez,5579,rendering
commandé,5577,order
ailes,5575,wings
employé,5575,employee
ricky,5573,ricky
boite,5572,box
petit-déjeuner,5569,breakfast
coupez,5568,cut
avons-nous,5565,have we
angle,5563,corner
participer,5561,participate
neveu,5558,nephew
activité,5555,activity
coucou,5555,cuckoo
température,5552,temperature
bleus,5551,blue
cherchent,5550,they search
bourse,5549,sotck exchange 
reçois,5545,receive
éternité,5540,eternity
poubelle,5540,garbage can
harvey,5539,harvey
milliards,5539,billion
vol.,5538,flight.
compétition,5537,competition
viol,5536,rape
marty,5531,marty
coté,5530,side
pouls,5526,pulse
laissez-le,5525,leave it
jay,5523,jay
illégal,5523,illegal
termine,5518,finished
ranger,5517,tidy
élever,5516,raise
places,5513,places
autorité,5511,authority
échelle,5511,ladder
commission,5511,commission
tribu,5508,tribe
voleurs,5507,thieves
comédie,5504,comedy
seules,5500,only
accueil,5499,welcome
pommes,5499,apples
premières,5499,first
autorisé,5497,allowed
taule,5496,jail
absurde,5493,absurd
souffrance,5490,suffering
rattraper,5490,catch up
demi-tour,5487,turn-turn
indiens,5486,indian
transformer,5485,transform
parle-moi,5484,talk to me
mérites,5481,merits
dégâts,5481,damage
fermée,5480,closed
réception,5479,reception
french,5479,french
réservé,5474,reserve
annulé,5473,canceled
wayne,5469,wayne
mercredi,5468,wednesday
meme,5468,even
négatif,5466,negative
union,5463,union
deviennent,5462,become
durer,5459,last
semblent,5456,seem
bombes,5455,bombs
ivre,5450,drunk
avancez,5449,advance
témoigner,5449,bear witness
bah,5447,well
langage,5447,language
tunnel,5445,tunnel
chats,5443,cats
pur,5439,pure
poudre,5437,powder
oeuvre,5434,artwork
jour-là,5433,day
influence,5432,influence
todd,5431,todd
méchants,5430,bad guys
by,5429,by
numéros,5426,numbers
récupéré,5424,recovered
pure,5424,pure
biens,5424,goods
garce,5423,bitch
tarte,5421,pie
tres,5418,very
hauteur,5414,height
carol,5414,carol
finale,5405,final
culture,5401,culture
revienne,5400,come back
pensiez,5399,think
pénis,5399,penis
crois-tu,5397,do you believe
déçu,5395,disappointed
production,5395,production
bible,5393,bible
pierres,5391,stones
gants,5389,gloves
sous-sol,5386,basement
beth,5384,beth
oeufs,5384,eggs
nina,5383,nina
pouvons-nous,5381,can we
rumeurs,5380,rumors
intérêts,5379,interests
regardais,5375,looked
indice,5374,hint
ministère,5374,ministry
brad,5372,brad
témoignage,5371,testimony
œufs,5370,eggs
effrayant,5368,scary
fouiller,5367,rummage
prier,5364,pray
diane,5364,diane
actrice,5363,actress
suspects,5362,suspect
soirs,5362,evenings
pisser,5360,piss
causer,5359,cause
finira,5356,will end
entrepôt,5353,warehouse
oxygène,5353,oxygen
s.,5348,s.
marshall,5347,marshall
west,5346,west
inquiètes,5345,worried
conclu,5344,concluded
souviens-toi,5342,remember
devras,5339,must
francisco,5339,francisco
salade,5335,salad
indique,5332,noted
matinée,5332,morning
flotte,5330,fleet
uns,5327,some
rage,5326,rage
amiral,5324,admiral
perdus,5323,lost
gagnant,5322,winner
mettent,5320,put
national,5318,national
frigo,5317,fridge
christ,5317,christ
vince,5313,vince
sachant,5311,knowing
opérations,5309,operations
stress,5309,stress
tuera,5307,will kill
grant,5306,grant
lâchez,5306,let go
commander,5306,order
guide,5306,guide
blagues,5302,jokes
chic,5295,chic
comte,5289,county
fauteuil,5287,armchair
prises,5287,taken
vampires,5286,vampires
noble,5283,noble
apprécier,5281,appreciate
auteur,5281,author
kilos,5280,pounds
tuerai,5279,will kill
séparés,5277,separated
l.a.,5276,there.
pouvaient,5276,could
principale,5268,main
bottes,5265,boots
semblerait,5259,would seem
miens,5258,mine
foutue,5257,foul
espion,5256,spy
album,5255,album
sortent,5255,come out
lou,5254,lou
violent,5253,violent
terroristes,5250,terrorists
énerve,5249,irritated
voudras,5248,will want
repartir,5248,to share out
spencer,5247,spectr
teddy,5247,teddy
serment,5245,oath
unités,5244,units
restait,5241,remained
promotion,5240,promotion
sure,5239,safe
division,5238,division
ron,5238,ron
viendrai,5236,will come
foie,5234,liver
puisses,5234,mighty
pardonne,5224,forgiven
robot,5219,robot
relax,5218,relax
jess,5217,i ss
mères,5216,mothers
ethan,5216,ethan
joueurs,5211,players
rejoint,5211,join
taisez-vous,5209,shut up
collection,5209,collection
stupides,5208,stupid
option,5205,option
communication,5201,communication
bizarres,5201,bizarre
rigole,5198,laugh
anges,5198,angels
vague,5198,wave
innocents,5196,innocent
lewis,5194,lewis
nombreuses,5187,many
laboratoire,5182,laboratory
soutenir,5182,sustain
naturellement,5182,naturally
vends,5181,sell
floride,5181,florida
charme,5179,charm
ian,5177,ian
adjoint,5176,assistant
trouvait,5174,found
terroriste,5173,terrorist
paraître,5173,appear
clan,5171,clan
livraison,5171,delivery
jalouse,5170,jealous
retiré,5169,took of
efficace,5169,effective
revenus,5168,income
diplôme,5165,diploma
piégé,5165,trap
interne,5165,internal
ennuyeux,5162,boring
électricité,5158,electricity
ignorer,5156,ignore
buvez,5154,drink
pervers,5154,pervert
baby,5154,baby
gâché,5152,spoils
phase,5151,phase
trouvés,5151,found
repris,5149,taken back
enregistré,5149,checked in
besoins,5149,needs
révolution,5148,revolution
passons,5145,let's go
sein,5142,breast
valait,5141,was worth
barbe,5140,beard
pari,5140,bet
fans,5123,fans
dylan,5122,dylan
connue,5121,known
commerce,5121,trade
formation,5120,training
habiller,5119,dress
fichu,5118,darkened
renseignements,5118,information
bêtises,5109,foolery
michelle,5109,michelle
parent,5109,parent
tina,5107,tina
commissariat,5105,police station
gratuit,5105,free
tuyau,5104,pipe 
couvre,5100,coverage
convient,5098,agrees
adoré,5097,adored
total,5096,total
oû,5094,or
nancy,5091,nancy
autrefois,5090,formerly
éteint,5087,extinct
étude,5087,study
fenêtres,5085,windows
actuellement,5081,currently
écart,5081,gap
charger,5081,load
habitants,5081,residents
comté,5079,county
étudié,5078,studied
bol,5078,bowl
dette,5067,debt
diner,5067,dinner
rêver,5066,dream
interrompre,5066,interrupt
micro,5066,microphone
liens,5062,connections
plastique,5062,plastic
rompre,5062,to break up
éteindre,5062,turn off
dégoûtant,5059,disgusting
deviez,5058,had to
minable,5055,shabby
égoïste,5054,self-centered
casey,5053,casey
léger,5049,light
cigarettes,5049,cigarettes
sœurs,5047,sisters
edward,5045,edward
réveillée,5045,awake
one,5043,one
cité,5042,quoted
be,5040,be
culpabilité,5038,guilt
las,5038,the ace
adorerais,5038,would love
pourrons,5034,can
produire,5032,produce
nucléaire,5030,nuclear
russie,5029,russia
rejoins,5023,join
tandis,5023,while
descendez,5021,go down
espagnol,5021,spanish
volée,5020,stolen
vaisseaux,5019,vessels
régime,5018,diet
pilules,5017,pills
aïe,5017,ouch
empreinte,5014,footprint
russell,5012,russell
sain,5012,healthy
identifié,5006,identified
évidence,5001,evidence
fidèle,5001,faithful
trouveras,5000,will find
diras,5000,will say
remède,4999,remedy
cimetière,4998,graveyard
couler,4996,to flow
1re,4995,1st
emporter,4995,take away
fâché,4995,angry
exécution,4993,execution
evidemment,4992,obviously
porno,4992,porn
devrez,4987,will have to
cellules,4984,cells
éléments,4983,elements
rang,4982,rank
autorités,4981,authorities
laissera,4979,will leave
hannah,4978,hannah
fierté,4977,pride
vérifiez,4976,check
travaillais,4976,work
congrès,4972,congress
détends-toi,4971,relax
pratiquement,4970,practically
enfui,4966,fled
métro,4965,metro
diamants,4964,diamonds
raymond,4963,raymond
façons,4962,manners
processus,4960,process
âmes,4959,souls
caution,4958,bail
lecture,4955,reading
rond,4953,round
camarades,4953,comrades
ressemblait,4952,looked like
écraser,4952,crush
caractère,4950,character
trous,4947,holes
intelligence,4946,intelligence
renforts,4946,reinforcements
résister,4946,resist
sous-titres,4945,subtitles
roses,4943,roses
ressenti,4940,feeling
douze,4939,twelve
gus,4937,gus
instructions,4937,instructions
gibbs,4935,gibbs
plaindre,4934,complain
voudrez,4933,will want
so,4933,so
ali,4931,ali
exprimer,4931,express
religion,4926,religion
survie,4926,survival
couches,4922,layers
pourri,4920,rotten
esclave,4915,slave
septembre,4914,september
particulièrement,4912,particularly
tradition,4910,tradition
